Data,Dolar,IBOVESPA,IPCA,IGPM,IGPDI,IGP10,INPC
fev/2010,-3.5720014176033335,1.6834347573468702,0.78,1.18,1.09,1.08,0.7
mar/2010,-1.4119568105930722,5.817782656421515,0.52,0.94,0.63,1.1,0.71
abr/2010,-2.9092957600125926,-4.038538054908202,0.57,0.77,0.72,0.63,0.73
mai/2010,4.957477515771423,-6.638531023248927,0.43,1.19,1.57,1.11,0.43
jun/2010,-1.2951921415426382,-3.3482957158944915,0.0,0.85,0.34,1.3,-0.11
jul/2010,-1.8091469183776143,10.796573454115793,0.01,0.15,0.22,0.05,-0.07
ago/2010,-0.1990324015394641,-3.510331037547212,0.04,0.77,1.1,0.46,-0.07
set/2010,-2.9344708231696943,6.577634507636811,0.45,1.15,1.1,1.12,0.54
out/2010,0.5870261387093655,1.7902923808152096,0.75,1.01,1.03,1.15,0.92
nov/2010,0.20425939273181634,-4.199623618637952,0.83,1.45,1.58,1.16,1.03
dez/2010,-3.2032653764014207,2.3631932648991953,0.63,0.69,0.38,1.27,0.6
jan/2011,-1.6666635585222238,-3.939109732342544,0.83,0.79,0.98,0.49,0.94
fev/2011,1.5725370622506931,1.2136687945925646,0.8,1.0,0.96,1.03,0.54
mar/2011,-1.8975893080467925,1.786800825133936,0.79,0.62,0.61,0.84,0.66
abr/2011,-2.591339864113853,-3.5779375100237654,0.77,0.45,0.5,0.56,0.72
mai/2011,0.42236896202850127,-2.2878139506751545,0.47,0.43,0.01,0.55,0.57
jun/2011,-1.4626522846238803,-3.4292788610337355,0.15,-0.18,-0.13,-0.22,0.22
jul/2011,-0.43957143892151024,-5.738414204217678,0.16,-0.12,-0.05,-0.12,0.0
ago/2011,1.5165087087692282,-3.9576356187205683,0.37,0.44,0.61,0.2,0.42
set/2011,15.203275313639143,-7.382954243738384,0.53,0.65,0.75,0.63,0.45
out/2011,-7.692726628910427,11.493769589480927,0.43,0.53,0.4,0.64,0.32
nov/2011,9.15179812697771,-2.507799376049916,0.52,0.5,0.43,0.44,0.57
dez/2011,1.2869942053216994,-0.21274725274725276,0.5,-0.12,-0.16,0.19,0.51
jan/2012,-6.374654617742882,11.132254995242626,0.56,0.25,0.3,0.08,0.51
fev/2012,-2.7830246188381396,4.344241501775748,0.45,-0.06,0.07,0.04,0.39
mar/2012,7.250982000289298,-1.9768431289126605,0.21,0.43,0.56,0.27,0.18
abr/2012,3.580848655199625,-4.171381624839174,0.64,0.85,1.02,0.7,0.64
mai/2012,6.834566774424868,-11.857004205758654,0.36,1.02,0.91,1.01,0.55
jun/2012,3.072119698458296,-0.2477518810790971,0.08,0.66,0.69,0.73,0.26
jul/2012,-1.7575218428855166,3.2048569588814275,0.43,1.34,1.52,0.96,0.43
ago/2012,0.2548717297927302,1.718451967128367,0.41,1.43,1.29,1.59,0.45
set/2012,-0.9044287109813229,3.706559646693889,0.57,0.97,0.88,1.05,0.63
out/2012,0.09867259541271821,-3.5622549682303633,0.59,0.02,-0.31,0.42,0.71
nov/2012,3.2823974591559844,0.7131842713955281,0.6,-0.03,0.25,-0.28,0.54
dez/2012,-2.409807154673891,6.049586776859504,0.79,0.68,0.66,0.63,0.74
jan/2013,-2.777370717870645,-1.9539965874786718,0.86,0.34,0.31,0.42,0.92
fev/2013,-0.6990857823059549,-3.910577132243436,0.6,0.29,0.2,0.29,0.52
mar/2013,2.269045893401877,-1.8668152688771245,0.47,0.21,0.31,0.22,0.6
abr/2013,-0.6685803598217008,-0.7843554798409993,0.55,0.15,-0.06,0.18,0.59
mai/2013,5.085505929498381,-4.299767483455554,0.37,0.0,0.32,-0.09,0.35
jun/2013,4.184649111147937,-11.305274174858894,0.26,0.75,0.76,0.63,0.28
jul/2013,3.802547850921232,1.637271635375182,0.03,0.26,0.14,0.43,-0.13
ago/2013,3.3649192086980415,3.6779035535099722,0.24,0.15,0.46,0.15,0.16
set/2013,-5.661897148408249,4.6592545192769155,0.35,1.5,1.36,1.05,0.27
out/2013,-1.8716077351147953,3.6646413695594022,0.57,0.86,0.63,1.11,0.61
nov/2013,6.134520948173826,-3.269684458861693,0.54,0.29,0.28,0.44,0.54
