"Data","Variacao"
"jan/2010",0.20
"fev/2010",1.08
"mar/2010",1.10
"abr/2010",0.63
"mai/2010",1.11
"jun/2010",1.30
"jul/2010",0.05
"ago/2010",0.46
"set/2010",1.12
"out/2010",1.15
"nov/2010",1.16
"dez/2010",1.27
"jan/2011",0.49
"fev/2011",1.03
"mar/2011",0.84
"abr/2011",0.56
"mai/2011",0.55
"jun/2011",-0.22
"jul/2011",-0.12
"ago/2011",0.20
"set/2011",0.63
"out/2011",0.64
"nov/2011",0.44
"dez/2011",0.19
"jan/2012",0.08
"fev/2012",0.04
"mar/2012",0.27
"abr/2012",0.70
"mai/2012",1.01
"jun/2012",0.73
"jul/2012",0.96
"ago/2012",1.59
"set/2012",1.05
"out/2012",0.42
"nov/2012",-0.28
"dez/2012",0.63
"jan/2013",0.42
"fev/2013",0.29
"mar/2013",0.22
"abr/2013",0.18
"mai/2013",-0.09
"jun/2013",0.63
"jul/2013",0.43
"ago/2013",0.15
"set/2013",1.05
"out/2013",1.11
"nov/2013",0.44
"dez/2013",0.44
"jan/2014",0.58
"fev/2014",0.30
"mar/2014",1.29
"abr/2014",1.19
"mai/2014",0.13
"jun/2014",-0.67
"jul/2014",-0.56
"ago/2014",-0.55
"set/2014",0.31
"out/2014",0.02
"nov/2014",0.82
"dez/2014",0.98
"jan/2015",0.42
"fev/2015",0.43
"mar/2015",0.83
"abr/2015",1.27
"mai/2015",0.52
"jun/2015",0.57
"jul/2015",0.75
"ago/2015",0.34
"set/2015",0.61
"out/2015",1.88
"nov/2015",1.64
"dez/2015",0.81
"jan/2016",0.69
"fev/2016",1.55
"mar/2016",0.58
"abr/2016",0.40
"mai/2016",0.60
"jun/2016",1.42
"jul/2016",1.06
"ago/2016",-0.27
"set/2016",0.36
"out/2016",0.12
"nov/2016",0.06
"dez/2016",0.20
"jan/2017",0.88
"fev/2017",0.14
"mar/2017",0.05
"abr/2017",-0.76
"mai/2017",-1.10
"jun/2017",-0.62
"jul/2017",-0.84
"ago/2017",-0.17
"set/2017",0.39
"out/2017",0.49
"nov/2017",0.24
"dez/2017",0.90
"jan/2018",0.79
"fev/2018",0.23
"mar/2018",0.45
"abr/2018",0.56
"mai/2018",1.11
"jun/2018",1.86
"jul/2018",0.93
"ago/2018",0.51
"set/2018",1.20
"out/2018",1.43
"nov/2018",-0.16
"dez/2018",-1.23
"jan/2019",-0.26
"fev/2019",0.40
"mar/2019",1.40
"abr/2019",1.00
"mai/2019",0.70
"jun/2019",0.49
"jul/2019",0.61
"ago/2019",-0.47
"set/2019",-0.29
"out/2019",0.77
"nov/2019",0.19
"dez/2019",1.69
"jan/2020",1.07
"fev/2020",0.01
"mar/2020",0.64
"abr/2020",1.13
"mai/2020",0.07
"jun/2020",1.55
"jul/2020",1.91
"ago/2020",2.53
"set/2020",4.34
"out/2020",3.20
"nov/2020",3.51
"dez/2020",1.97
"jan/2021",1.33
"fev/2021",2.97
"mar/2021",2.99
"abr/2021",1.58
"mai/2021",3.24
"jun/2021",2.32
"jul/2021",0.18
"ago/2021",1.18
"set/2021",-0.37
"out/2021",-0.31
"nov/2021",1.19
"dez/2021",-0.14
"jan/2022",1.79
"fev/2022",1.98
"mar/2022",1.18
"abr/2022",2.48
"mai/2022",0.10
"jun/2022",0.74
"jul/2022",0.60
"ago/2022",-0.69
"set/2022",-0.90
"out/2022",-1.04
"nov/2022",-0.59
"dez/2022",0.36
"jan/2023",0.05
"fev/2023",0.02
"mar/2023",0.05
"abr/2023",-0.58
"mai/2023",-1.53
"jun/2023",-2.20
"jul/2023",-1.10
"ago/2023",-0.13
"set/2023",0.18
"out/2023",0.52
"nov/2023",0.52
"dez/2023",0.62
"jan/2024",0.53
"fev/2024",-0.65
"mar/2024",-0.17
"abr/2024",-0.33
"mai/2024",1.08
"jun/2024",0.83
"jul/2024",0.45
"ago/2024",0.72
"set/2024",0.18
"out/2024",1.34
"nov/2024",1.45
"dez/2024",1.14
