"Data","Variacao"
"jan/2010",1.01
"fev/2010",1.09
"mar/2010",0.63
"abr/2010",0.72
"mai/2010",1.57
"jun/2010",0.34
"jul/2010",0.22
"ago/2010",1.10
"set/2010",1.10
"out/2010",1.03
"nov/2010",1.58
"dez/2010",0.38
"jan/2011",0.98
"fev/2011",0.96
"mar/2011",0.61
"abr/2011",0.50
"mai/2011",0.01
"jun/2011",-0.13
"jul/2011",-0.05
"ago/2011",0.61
"set/2011",0.75
"out/2011",0.40
"nov/2011",0.43
"dez/2011",-0.16
"jan/2012",0.30
"fev/2012",0.07
"mar/2012",0.56
"abr/2012",1.02
"mai/2012",0.91
"jun/2012",0.69
"jul/2012",1.52
"ago/2012",1.29
"set/2012",0.88
"out/2012",-0.31
"nov/2012",0.25
"dez/2012",0.66
"jan/2013",0.31
"fev/2013",0.20
"mar/2013",0.31
"abr/2013",-0.06
"mai/2013",0.32
"jun/2013",0.76
"jul/2013",0.14
"ago/2013",0.46
"set/2013",1.36
"out/2013",0.63
"nov/2013",0.28
"dez/2013",0.69
"jan/2014",0.40
"fev/2014",0.85
"mar/2014",1.48
"abr/2014",0.45
"mai/2014",-0.45
"jun/2014",-0.63
"jul/2014",-0.55
"ago/2014",0.06
"set/2014",0.02
"out/2014",0.59
"nov/2014",1.14
"dez/2014",0.38
"jan/2015",0.67
"fev/2015",0.53
"mar/2015",1.21
"abr/2015",0.92
"mai/2015",0.40
"jun/2015",0.68
"jul/2015",0.58
"ago/2015",0.40
"set/2015",1.42
"out/2015",1.76
"nov/2015",1.19
"dez/2015",0.44
"jan/2016",1.53
"fev/2016",0.79
"mar/2016",0.43
"abr/2016",0.36
"mai/2016",1.13
"jun/2016",1.63
"jul/2016",-0.39
"ago/2016",0.43
"set/2016",0.03
"out/2016",0.13
"nov/2016",0.05
"dez/2016",0.83
"jan/2017",0.43
"fev/2017",0.06
"mar/2017",-0.38
"abr/2017",-1.24
"mai/2017",-0.51
"jun/2017",-0.96
"jul/2017",-0.30
"ago/2017",0.24
"set/2017",0.62
"out/2017",0.10
"nov/2017",0.80
"dez/2017",0.74
"jan/2018",0.58
"fev/2018",0.15
"mar/2018",0.56
"abr/2018",0.93
"mai/2018",1.64
"jun/2018",1.48
"jul/2018",0.44
"ago/2018",0.68
"set/2018",1.79
"out/2018",0.26
"nov/2018",-1.14
"dez/2018",-0.45
"jan/2019",0.07
"fev/2019",1.25
"mar/2019",1.07
"abr/2019",0.90
"mai/2019",0.40
"jun/2019",0.63
"jul/2019",-0.01
"ago/2019",-0.51
"set/2019",0.50
"out/2019",0.55
"nov/2019",0.85
"dez/2019",1.74
"jan/2020",0.09
"fev/2020",0.01
"mar/2020",1.64
"abr/2020",0.05
"mai/2020",1.07
"jun/2020",1.60
"jul/2020",2.34
"ago/2020",3.87
"set/2020",3.30
"out/2020",3.68
"nov/2020",2.64
"dez/2020",0.76
"jan/2021",2.91
"fev/2021",2.71
"mar/2021",2.17
"abr/2021",2.22
"mai/2021",3.40
"jun/2021",0.11
"jul/2021",1.45
"ago/2021",-0.14
"set/2021",-0.55
"out/2021",1.60
"nov/2021",-0.58
"dez/2021",1.25
"jan/2022",2.01
"fev/2022",1.50
"mar/2022",2.37
"abr/2022",0.41
"mai/2022",0.69
"jun/2022",0.62
"jul/2022",-0.38
"ago/2022",-0.55
"set/2022",-1.22
"out/2022",-0.62
"nov/2022",-0.18
"dez/2022",0.31
"jan/2023",0.06
"fev/2023",0.04
"mar/2023",-0.34
"abr/2023",-1.01
"mai/2023",-2.33
"jun/2023",-1.45
"jul/2023",-0.40
"ago/2023",0.05
"set/2023",0.45
"out/2023",0.51
"nov/2023",0.50
"dez/2023",0.64
"jan/2024",-0.27
"fev/2024",-0.41
"mar/2024",-0.30
"abr/2024",0.72
"mai/2024",0.87
"jun/2024",0.50
"jul/2024",0.83
"ago/2024",0.12
"set/2024",1.03
"out/2024",1.54
"nov/2024",1.18
"dez/2024",0.87
