"Data","Variacao"
"jan/2010",0.88
"fev/2010",0.70
"mar/2010",0.71
"abr/2010",0.73
"mai/2010",0.43
"jun/2010",-0.11
"jul/2010",-0.07
"ago/2010",-0.07
"set/2010",0.54
"out/2010",0.92
"nov/2010",1.03
"dez/2010",0.60
"jan/2011",0.94
"fev/2011",0.54
"mar/2011",0.66
"abr/2011",0.72
"mai/2011",0.57
"jun/2011",0.22
"jul/2011",0.00
"ago/2011",0.42
"set/2011",0.45
"out/2011",0.32
"nov/2011",0.57
"dez/2011",0.51
"jan/2012",0.51
"fev/2012",0.39
"mar/2012",0.18
"abr/2012",0.64
"mai/2012",0.55
"jun/2012",0.26
"jul/2012",0.43
"ago/2012",0.45
"set/2012",0.63
"out/2012",0.71
"nov/2012",0.54
"dez/2012",0.74
"jan/2013",0.92
"fev/2013",0.52
"mar/2013",0.60
"abr/2013",0.59
"mai/2013",0.35
"jun/2013",0.28
"jul/2013",-0.13
"ago/2013",0.16
"set/2013",0.27
"out/2013",0.61
"nov/2013",0.54
"dez/2013",0.72
"jan/2014",0.63
"fev/2014",0.64
"mar/2014",0.82
"abr/2014",0.78
"mai/2014",0.60
"jun/2014",0.26
"jul/2014",0.13
"ago/2014",0.18
"set/2014",0.49
"out/2014",0.38
"nov/2014",0.53
"dez/2014",0.62
"jan/2015",1.48
"fev/2015",1.16
"mar/2015",1.51
"abr/2015",0.71
"mai/2015",0.99
"jun/2015",0.77
"jul/2015",0.58
"ago/2015",0.25
"set/2015",0.51
"out/2015",0.77
"nov/2015",1.11
"dez/2015",0.90
"jan/2016",1.51
"fev/2016",0.95
"mar/2016",0.44
"abr/2016",0.64
"mai/2016",0.98
"jun/2016",0.47
"jul/2016",0.64
"ago/2016",0.31
"set/2016",0.08
"out/2016",0.17
"nov/2016",0.07
"dez/2016",0.14
"jan/2017",0.42
"fev/2017",0.24
"mar/2017",0.32
"abr/2017",0.08
"mai/2017",0.36
"jun/2017",-0.30
"jul/2017",0.17
"ago/2017",-0.03
"set/2017",-0.02
"out/2017",0.37
"nov/2017",0.18
"dez/2017",0.26
"jan/2018",0.23
"fev/2018",0.18
"mar/2018",0.07
"abr/2018",0.21
"mai/2018",0.43
"jun/2018",1.43
"jul/2018",0.25
"ago/2018",0.00
"set/2018",0.30
"out/2018",0.40
"nov/2018",-0.25
"dez/2018",0.14
"jan/2019",0.36
"fev/2019",0.54
"mar/2019",0.77
"abr/2019",0.60
"mai/2019",0.15
"jun/2019",0.01
"jul/2019",0.10
"ago/2019",0.12
"set/2019",-0.05
"out/2019",0.04
"nov/2019",0.54
"dez/2019",1.22
"jan/2020",0.19
"fev/2020",0.17
"mar/2020",0.18
"abr/2020",-0.23
"mai/2020",-0.25
"jun/2020",0.30
"jul/2020",0.44
"ago/2020",0.36
"set/2020",0.87
"out/2020",0.89
"nov/2020",0.95
"dez/2020",1.46
"jan/2021",0.27
"fev/2021",0.82
"mar/2021",0.86
"abr/2021",0.38
"mai/2021",0.96
"jun/2021",0.60
"jul/2021",1.02
"ago/2021",0.88
"set/2021",1.20
"out/2021",1.16
"nov/2021",0.84
"dez/2021",0.73
"jan/2022",0.67
"fev/2022",1.00
"mar/2022",1.71
"abr/2022",1.04
"mai/2022",0.45
"jun/2022",0.62
"jul/2022",-0.60
"ago/2022",-0.31
"set/2022",-0.32
"out/2022",0.47
"nov/2022",0.38
"dez/2022",0.69
"jan/2023",0.46
"fev/2023",0.77
"mar/2023",0.64
"abr/2023",0.53
"mai/2023",0.36
"jun/2023",-0.10
"jul/2023",-0.09
"ago/2023",0.20
"set/2023",0.11
"out/2023",0.12
"nov/2023",0.10
"dez/2023",0.55
"jan/2024",0.57
"fev/2024",0.81
"mar/2024",0.19
"abr/2024",0.37
"mai/2024",0.46
"jun/2024",0.25
"jul/2024",0.26
"ago/2024",-0.14
"set/2024",0.48
"out/2024",0.61
"nov/2024",0.33
"dez/2024",0.48
