Data,Variacao
jan/2010,0.75
fev/2010,0.78
mar/2010,0.52
abr/2010,0.57
mai/2010,0.43
jun/2010,0.00
jul/2010,0.01
ago/2010,0.04
set/2010,0.45
out/2010,0.75
nov/2010,0.83
dez/2010,0.63
jan/2011,0.83
fev/2011,0.80
mar/2011,0.79
abr/2011,0.77
mai/2011,0.47
jun/2011,0.15
jul/2011,0.16
ago/2011,0.37
set/2011,0.53
out/2011,0.43
nov/2011,0.52
dez/2011,0.50
jan/2012,0.56
fev/2012,0.45
mar/2012,0.21
abr/2012,0.64
mai/2012,0.36
jun/2012,0.08
jul/2012,0.43
ago/2012,0.41
set/2012,0.57
out/2012,0.59
nov/2012,0.60
dez/2012,0.79
jan/2013,0.86
fev/2013,0.60
mar/2013,0.47
abr/2013,0.55
mai/2013,0.37
jun/2013,0.26
jul/2013,0.03
ago/2013,0.24
set/2013,0.35
out/2013,0.57
nov/2013,0.54
dez/2013,0.92
jan/2014,0.55
fev/2014,0.69
mar/2014,0.92
abr/2014,0.67
mai/2014,0.46
jun/2014,0.40
jul/2014,0.01
ago/2014,0.25
set/2014,0.57
out/2014,0.42
nov/2014,0.51
dez/2014,0.78
jan/2015,1.24
fev/2015,1.22
mar/2015,1.32
abr/2015,0.71
mai/2015,0.74
jun/2015,0.79
jul/2015,0.62
ago/2015,0.22
set/2015,0.54
out/2015,0.82
nov/2015,1.01
dez/2015,0.96
jan/2016,1.27
fev/2016,0.90
mar/2016,0.43
abr/2016,0.61
mai/2016,0.78
jun/2016,0.35
jul/2016,0.52
ago/2016,0.44
set/2016,0.08
out/2016,0.26
nov/2016,0.18
dez/2016,0.30
jan/2017,0.38
fev/2017,0.33
mar/2017,0.25
abr/2017,0.14
mai/2017,0.31
jun/2017,-0.23
jul/2017,0.24
ago/2017,0.19
set/2017,0.16
out/2017,0.42
nov/2017,0.28
dez/2017,0.44
jan/2018,0.29
fev/2018,0.32
mar/2018,0.09
abr/2018,0.22
mai/2018,0.40
jun/2018,1.26
jul/2018,0.33
ago/2018,-0.09
set/2018,0.48
out/2018,0.45
nov/2018,-0.21
dez/2018,0.15
jan/2019,0.32
fev/2019,0.43
mar/2019,0.75
abr/2019,0.57
mai/2019,0.13
jun/2019,0.01
jul/2019,0.19
ago/2019,0.11
set/2019,-0.04
out/2019,0.10
nov/2019,0.51
dez/2019,1.15
jan/2020,0.21
fev/2020,0.25
mar/2020,0.07
abr/2020,-0.31
mai/2020,-0.38
jun/2020,0.26
jul/2020,0.36
ago/2020,0.24
set/2020,0.64
out/2020,0.86
nov/2020,0.89
dez/2020,1.35
jan/2021,0.25
fev/2021,0.86
mar/2021,0.93
abr/2021,0.31
mai/2021,0.83
jun/2021,0.53
jul/2021,0.96
ago/2021,0.87
set/2021,1.16
out/2021,1.25
nov/2021,0.95
dez/2021,0.73
jan/2022,0.54
fev/2022,1.01
mar/2022,1.62
abr/2022,1.06
mai/2022,0.47
jun/2022,0.67
jul/2022,-0.68
ago/2022,-0.36
set/2022,-0.29
out/2022,0.59
nov/2022,0.41
dez/2022,0.62
jan/2023,0.53
fev/2023,0.84
mar/2023,0.71
abr/2023,0.61
mai/2023,0.23
jun/2023,-0.08
jul/2023,0.12
ago/2023,0.23
set/2023,0.26
out/2023,0.24
nov/2023,0.28
dez/2023,0.56
jan/2024,0.42
fev/2024,0.83
mar/2024,0.16
abr/2024,0.38
mai/2024,0.46
jun/2024,0.21
jul/2024,0.38
ago/2024,-0.02
set/2024,0.44
out/2024,0.56
nov/2024,0.39
dez/2024,0.52
