Data,Variacao
jan/2000,0.62
fev/2000,0.13
mar/2000,0.22
abr/2000,0.42
mai/2000,0.01
jun/2000,0.23
jul/2000,1.61
ago/2000,1.31
set/2000,0.23
out/2000,0.14
nov/2000,0.32
dez/2000,0.59
jan/2001,0.57
fev/2001,0.46
mar/2001,0.38
abr/2001,0.58
mai/2001,0.41
jun/2001,0.52
jul/2001,1.33
ago/2001,0.70
set/2001,0.28
out/2001,0.83
nov/2001,0.71
dez/2001,0.65
jan/2002,0.52
fev/2002,0.36
mar/2002,0.60
abr/2002,0.80
mai/2002,0.21
jun/2002,0.42
jul/2002,1.19
ago/2002,0.65
set/2002,0.72
out/2002,1.31
nov/2002,3.02
dez/2002,2.10
jan/2003,2.25
fev/2003,1.57
mar/2003,1.23
abr/2003,0.97
mai/2003,0.61
jun/2003,-0.15
jul/2003,0.20
ago/2003,0.34
set/2003,0.78
out/2003,0.29
nov/2003,0.34
dez/2003,0.52
jan/2004,0.76
fev/2004,0.61
mar/2004,0.47
abr/2004,0.37
mai/2004,0.51
jun/2004,0.71
jul/2004,0.91
ago/2004,0.69
set/2004,0.33
out/2004,0.44
nov/2004,0.69
dez/2004,0.86
jan/2005,0.58
fev/2005,0.59
mar/2005,0.61
abr/2005,0.87
mai/2005,0.49
jun/2005,-0.02
jul/2005,0.25
ago/2005,0.17
set/2005,0.35
out/2005,0.75
nov/2005,0.55
dez/2005,0.36
jan/2006,0.59
fev/2006,0.41
mar/2006,0.43
abr/2006,0.21
mai/2006,0.10
jun/2006,-0.21
jul/2006,0.19
ago/2006,0.05
set/2006,0.21
out/2006,0.33
nov/2006,0.31
dez/2006,0.48
jan/2007,0.44
fev/2007,0.44
mar/2007,0.37
abr/2007,0.25
mai/2007,0.28
jun/2007,0.28
jul/2007,0.24
ago/2007,0.47
set/2007,0.18
out/2007,0.30
nov/2007,0.38
dez/2007,0.74
jan/2008,0.54
fev/2008,0.49
mar/2008,0.48
abr/2008,0.55
mai/2008,0.79
jun/2008,0.74
jul/2008,0.53
ago/2008,0.28
set/2008,0.26
out/2008,0.45
nov/2008,0.36
dez/2008,0.28
jan/2009,0.48
fev/2009,0.55
mar/2009,0.20
abr/2009,0.48
mai/2009,0.47
jun/2009,0.36
jul/2009,0.24
ago/2009,0.15
set/2009,0.24
out/2009,0.28
nov/2009,0.41
dez/2009,0.37
